measured,latency_ns,http_status,error_code,trade_id
false,278946959,200,,593
false,101410917,200,,595
false,181251000,200,,586
false,102928583,200,,624
false,103028625,200,,563
false,124669334,200,,605
false,68268417,200,,609
false,68768541,200,,606
false,102280792,200,,627
false,103993750,200,,566
false,102392625,200,,600
false,252147875,200,,562
false,214070542,200,,592
false,182108625,200,,594
false,181544417,200,,623
false,133768917,200,,589
false,126441084,200,,570
false,184426333,200,,558
false,66310917,200,,630
false,210166834,200,,631
false,210565334,200,,599
false,160565834,200,,579
false,126660750,200,,569
false,105671416,200,,560
false,155122292,200,,621
false,127105083,200,,565
false,126707458,200,,568
false,126525708,200,,620
false,70597042,200,,611
false,255463417,200,,618
false,73038958,200,,625
false,70387125,200,,602
false,37677250,200,,663
false,37489666,200,,662
false,39827958,200,,665
false,50112208,200,,679
false,208043292,200,,634
false,50016917,200,,671
false,85357792,200,,653
false,55120834,200,,664
false,121516041,200,,636
false,55167875,200,,660
false,55400917,200,,655
false,154579083,200,,638
false,89642791,200,,645
false,154395042,200,,639
false,88123125,200,,642
false,56450166,200,,667
false,55564167,200,,659
false,155724041,200,,640
false,59264500,200,,672
false,234011459,200,,644
false,56439292,200,,676
false,57656125,200,,666
false,123788083,200,,652
false,118461250,200,,654
false,104708667,200,,658
false,104088917,200,,646
false,57796292,200,,657
false,105966166,200,,650
false,57848000,200,,670
false,178398250,200,,632
false,57376875,200,,677
false,58073833,200,,668
false,58451667,200,,669
false,123205083,200,,633
false,213527042,200,,635
false,57500083,200,,673
false,92363834,200,,651
false,151094375,200,,637
false,94012875,200,,648
false,92985708,200,,649
false,57345542,200,,678
false,123616500,200,,641
false,57140792,200,,675
false,61570167,200,,681
false,60373750,200,,680
false,58055917,200,,674
false,94213417,200,,656
false,91779417,200,,647
false,127314584,200,,643
false,62336125,200,,661
false,62951750,200,,683
false,62470041,200,,684
false,62908167,200,,682
false,63116208,200,,685
false,66012333,200,,686
false,63249500,200,,687
false,67901125,200,,690
false,69094750,200,,691
false,64294458,200,,689
false,72441917,200,,688
false,72579083,200,,694
false,72985750,200,,695
false,74593542,200,,693
false,73849250,200,,692
false,36672791,200,,706
false,159604125,200,,704
false,86396833,200,,703
false,86944416,200,,702
false,93282875,200,,699
false,92790167,200,,701
false,91518916,200,,700
false,53687833,200,,705
false,91205542,200,,698
false,88308250,200,,697
false,95895334,200,,696
false,65006000,200,,710
false,51871708,200,,709
false,48936167,200,,708
